id	pct	
0	1	Amazonas
1	0	Antioquia
2	0	Arauca
3	1	Atlántico
4	1	Bolívar
5	1	Boyacá
6	1	Caldas
7	0	Caquetá
8	0	Casanare
9	1	Cauca
10	0	Cesar
11	0	Chocó
12	1	Córdoba
13	1	Cundinamarca
14	0	Guainía
15	0	Guaviare
16	0	Huila
17	0	La Guajira
18	0	Magdalena
19	0	Meta
20	1	Nariño
21	0	Norte de Santander
22	1	Putumayo
23	1	Quindío
24	1	Risaralda
25	0	San Andrés
26	0	Santander
27	0	Sucre
28	1	Tolima
29	1	Valle
30	0	Vaupés
31	0	Vichada
